T_forfft,V_forfft
1.46136e+02,0.00000e+00
1.46837e+02,0.00000e+00
1.47537e+02,0.00000e+00
1.48238e+02,0.00000e+00
1.48939e+02,0.00000e+00
1.49640e+02,0.00000e+00
1.50341e+02,0.00000e+00
1.51042e+02,0.00000e+00
1.51743e+02,0.00000e+00
1.52444e+02,0.00000e+00
1.53145e+02,0.00000e+00
1.53846e+02,0.00000e+00
1.54547e+02,0.00000e+00
1.55248e+02,0.00000e+00
1.55949e+02,0.00000e+00
1.56650e+02,0.00000e+00
1.57351e+02,0.00000e+00
1.58052e+02,0.00000e+00
1.58753e+02,0.00000e+00
1.59454e+02,0.00000e+00
1.60155e+02,0.00000e+00
1.60856e+02,0.00000e+00
1.61557e+02,0.00000e+00
1.62258e+02,0.00000e+00
1.62959e+02,0.00000e+00
1.63660e+02,0.00000e+00
1.64361e+02,0.00000e+00
1.65062e+02,0.00000e+00
1.65763e+02,0.00000e+00
1.66464e+02,0.00000e+00
1.67165e+02,0.00000e+00
1.67865e+02,0.00000e+00
1.68566e+02,0.00000e+00
1.69267e+02,0.00000e+00
1.69968e+02,0.00000e+00
1.70669e+02,0.00000e+00
1.71370e+02,0.00000e+00
1.72071e+02,0.00000e+00
1.72772e+02,0.00000e+00
1.73473e+02,0.00000e+00
1.74174e+02,0.00000e+00
1.74875e+02,0.00000e+00
1.75576e+02,0.00000e+00
1.76277e+02,0.00000e+00
1.76978e+02,0.00000e+00
1.77679e+02,0.00000e+00
1.78380e+02,0.00000e+00
1.79081e+02,0.00000e+00
1.79782e+02,0.00000e+00
1.80483e+02,0.00000e+00
1.81184e+02,0.00000e+00
1.81885e+02,0.00000e+00
1.82586e+02,0.00000e+00
1.83287e+02,0.00000e+00
1.83988e+02,0.00000e+00
1.84689e+02,0.00000e+00
1.85390e+02,0.00000e+00
1.86091e+02,0.00000e+00
1.86792e+02,0.00000e+00
1.87492e+02,0.00000e+00
1.88193e+02,0.00000e+00
1.88894e+02,0.00000e+00
1.89595e+02,0.00000e+00
1.90296e+02,0.00000e+00
1.90997e+02,0.00000e+00
1.91698e+02,0.00000e+00
1.92399e+02,0.00000e+00
1.93100e+02,0.00000e+00
1.93801e+02,0.00000e+00
1.94502e+02,0.00000e+00
1.95203e+02,0.00000e+00
1.95904e+02,0.00000e+00
1.96605e+02,0.00000e+00
